   Z2  A2f    Ex    nmult gmult  
   51  133    10.655    1    3
   52  135    13.238    2    1
   54  141    18.062    3    1
   53  135     3.785    0    2
   54  139    12.391    2    1
   54  140    11.785    2    2
   51  137     7.489    1    4
   57  150    18.385    3    5
   52  136     6.995    1    4
   56  145    11.823    2    4
   49  126    18.014    2    2
   53  139     6.208    1    2
   54  140     9.399    2    1
   50  132    10.287    1    2
   53  138     1.493    0    5
   52  136    13.161    2    1
   51  134     9.430    1    2
   50  131     9.702    1    1
   58  151    17.431    2    4
   56  148     9.728    1    5
   55  142     3.499    0    2
   62  158     8.425    1    4
   56  148     9.542    1    3
   50  131     8.487    1    1
   56  146    13.143    2    2
   53  136    11.795    1    4
   54  139     4.216    1    1
   53  139     5.929    1    2
   51  135     8.814    1    5
   54  144    11.241    2    4
   53  138    14.817    2    5
   56  146    14.578    2    4
   54  141     4.165    0    8
   54  139    10.948    2    1
   57  144     5.180    1    1
   50  130     6.609    0    1
   57  146    13.254    2    3
   51  134     4.355    1    1
   55  139     8.308    1    3
   56  145    13.617    2    1
   53  136     4.121    0    5
   54  139    10.635    2    1
   54  139    12.027    2    2
   53  138     6.650    1    4
   51  135     9.581    2    1
   52  135     5.234    1    1
   57  146     8.800    1    3
   52  138    10.788    2    3
   54  139     4.871    1    2
   51  133     3.894    0    3
   54  142     3.431    0    3
   56  146    12.181    2    6
   51  134    10.381    1    2
   56  142     5.693    0    5
   54  139     9.078    1    2
   52  133    10.066    1    2
   54  140    10.001    1    1
   53  137    13.694    2    4
   56  146     6.472    0    7
   56  143     7.053    1    4
   50  131    15.609    1    4
   53  138     6.119    1    4
   56  144    11.302    1    5
   55  145     8.452    1    2
   53  137    10.009    1    5
   50  131     8.597    1    2
   56  145    17.296    3    3
   53  141     5.651    1    1
   55  140     2.077    0    2
   58  150    18.917    2    3
   50  134     2.305    0    4
   51  133     9.667    1    4
   53  133     5.885    0    3
   50  131     2.004    0    2
   52  133     8.344    1    2
   55  140     2.025    0    2
   53  137     7.755    1    1
   54  141    11.843    2    1
   51  135     9.434    1    4
   53  140     5.120    1    3
   58  153    16.148    2    3
   53  139     7.576    1    4
   56  147    10.707    1    6
   52  137     4.699    1    1
   55  144    12.157    2    6
   54  141    12.583    2    1
   53  135     7.020    0    3
   53  139     7.018    1    3
   52  136     8.120    1    4
   54  142     5.081    0    6
   52  136     6.759    1    2
   57  150    12.090    2    2
   52  136     6.305    1    1
   56  145    12.396    2    4
   55  141     9.878    1    3
   52  134    11.708    1    2
   56  146    12.801    1    4
   51  134     5.511    1    2
   52  137    13.617    2    4
   51  136     2.839    0    7
   52  133    11.503    1    3
   51  131     3.031    0    2
   52  137    14.632    2    3
   57  149     8.514    1    3
   54  141    15.957    2    6
   55  141    13.088    1    4
   55  143     7.956    1    3
   59  150    11.549    1    7
   58  151    16.362    1   10
   54  140    12.091    1    1
   53  138    13.143    1    7
   54  140     2.999    0    3
   51  133    14.402    2    1
   50  133     7.350    1    1
   51  132     2.765    0    3
   56  145     9.396    1    5
   52  134     7.010    0    4
   55  145     6.222    1    1
   54  141    10.748    2    1
   52  136     5.345    0    3
   55  144     2.978    0    2
   52  136    10.467    2    1
   49  128     1.941    0    4
   50  132     8.583    1    2
   55  146    14.522    2    5
   55  141     8.310    1    2
   51  133    13.281    1    3
   55  142     4.820    1    1
   49  127     7.207    0    2
   55  144     5.828    1    5
   50  132     6.584    0    2
   51  134     9.021    1    3
   51  131     7.188    0    4
   54  141     3.971    1    2
   50  133     5.915    1    1
   52  138    16.750    3    2
   51  132    12.766    1    3
   55  143    10.170    1    6
   51  130     6.741    1    1
   54  140    11.953    1    7
   51  134    10.061    1    2
   53  139    12.424    2    4
   56  145     7.790    1    1
   53  137     2.943    0    5
   52  137     4.901    1    2
   53  137     7.385    1    5
   52  133    11.280    1    2
   56  145    16.496    2    4
   52  137     6.852    1    3
   51  132     9.379    1    2
   53  137    10.339    1    3
   54  143     9.662    1    6
   55  144     8.777    1    3
   55  140     1.112    0    2
   52  135    11.981    1    6
   58  150     9.514    1    3
   55  145     2.628    0    3
   51  132     4.384    0    2
   52  133    12.320    1    3
   57  147    10.341    1    4
   56  145     5.460    1    5
   53  138     9.372    1    3
   52  135     5.082    1    1
   61  157    11.105    1    4
   52  137     6.083    1    3
   51  133    12.144    1    3
   52  135    17.734    2    2
   58  151     9.845    1    7
   53  138     1.345    0    3
   58  147    12.561    2    1
   56  146     5.310    0    7
   54  139    12.794    2    3
   54  143     7.757    1    4
   54  143    10.575    2    1
   52  134     4.919    0    2
   54  139     5.066    1    1
   50  131    14.274    1    1
   51  135     7.173    1    3
   55  146    15.139    2    4
   54  141    18.513    3    4
   55  142     8.201    1    4
   58  149     2.510    0    2
   54  138    13.158    2    1
   54  141    12.525    2    1
   52  135    12.087    1    3
   52  138    10.328    2    2
   51  132    13.455    1    4
   57  148     9.482    1    3
   55  144     7.153    1    3
   52  135     2.429    0    2
   58  150    13.828    1    6
   51  133     5.801    0    2
   52  137    17.595    3    1
   58  149     4.873    0    7
   54  139     3.546    0    3
   54  138     5.909    0    5
   52  137     9.390    1    2
   54  141    12.476    2    2
   52  135    14.474    1    4
   57  144     4.880    0    3
   54  141     4.136    1    2
   52  136    15.556    2    1
   53  139     8.197    1    4
   54  136     1.962    0    2
   53  137     9.411    1    2
   54  141     4.754    1    2
   53  139     7.287    1    2
   52  136     2.220    0    3
   52  137     7.627    1    3
   58  150     9.069    1    3
   52  138     9.630    2    2
   55  142     7.563    1    5
   58  147     2.621    0    4
   54  143     5.299    1    4
   59  154     8.407    1    6
   54  138    10.402    1    3
   53  139     7.204    1    4
   50  130     8.725    0    6
   55  148    15.063    3    3
   53  137     5.873    1    1
   53  137     8.341    1    3
   54  141    10.225    2    1
   52  135     9.935    1    3
   50  130    10.840    1    3
   57  148    11.486    1    4
   54  142     9.207    1    5
   58  151    11.720    2    0
   54  140    10.285    1    3
   54  140    10.579    1    2
   53  135     9.311    1    2
   54  140     7.890    1    1
   56  146    11.472    2    1
   55  142     5.366    1    3
   54  140     1.087    0    2
   54  140     9.027    1    2
   54  139     4.383    0    4
   52  137     6.798    1    2
   57  149    17.923    2    6
   52  135    10.893    1    2
   49  127    11.206    1    1
   51  133    12.156    1    3
   58  150    15.583    2    6
   54  142    10.493    1    3
   55  145     7.738    1    4
   56  141     8.846    1    3
   52  133    13.341    1    3
   50  135     9.975    2    0
   57  146     6.629    1    3
   53  138    10.230    1    5
   55  139     8.383    1    2
   54  142     8.493    1    3
   49  129     8.707    1    1
   52  133     5.021    0    2
   53  137    11.299    1    5
   51  133    12.217    1    4
   53  137    11.243    1    5
   52  133    12.365    1    3
   52  135    14.703    1    3
   55  143     7.649    1    7
   52  139     9.227    1    5
